FileName;Correct;Recurrence Formula;Resulting Formula;Output recurrence formula;Output resulting Formula
D:\Discrete Structuren\comass63.txt;True;(-23/12)*1*x + +(1/1)*1*y + +(17/12)*1*z + -(1/2)*1*a + 0;(-41/77)*(-2)^n + (27/14)*(-1)^n + (-783/70)*(1/3)^n + (6464/385)*(3/4)^n;[-1.416666666666666, 19.04861111111111, -29.176504629629626, 68.46330054012346, -132.70396492412547, 271.9548795304998, -542.3728892775938, 1089.2739833999817, -2178.5266289972883, 4360.444322736276, -8721.720326453047, 17446.1918989918, -34893.695361145634, 69789.78205067766, -139581.14560481292, 279164.48008211685, -558330.6935098375, 1116663.4620104816, -2233328.7427778556, 4466659.496488043];[-1.416666666666666, 19.04861111111111, -29.176504629629623, 68.46330054012344, -132.7039649241255, 271.9548795304998, -542.3728892775938, 1089.2739833999817, -2178.5266289972874, 4360.444322736275, -8721.720326453045, 17446.191898991794, -34893.69536114563, 69789.78205067763, -139581.1456048128, 279164.4800821167, -558330.6935098371, 1116663.4620104805, -2233328.7427778533, 4466659.496488038]
D:\Discrete Structuren\comass68.txt;True;1*x + +18*1*y + -6*1*z + -117*1*a + -27*1*b + +292*1*c + +176*1*d + -192*1*e + -144*1*f + 0;((2^n) * 437/576) + ((1) * 433/432) + ((3^n) * -793/4000) + ((3^n*n) * 17/800) + (((-1)^n) * -97/288) + (((-1)^n*n) * 73/96) + (((-2)^n) * -48803/216000) + (((-2)^n*n) * 23/3600) + (((-2)^n*n^2) * 1/480);[245, 1674, 7638, 33894, 128850, 491605, 1742797, 6178451, 21085739, 71728988, 238902992, 792194796, 2594024352, 8456403583, 27346375423, 88079051089, 282131095249, 900597380510, 2863317013370, 9076996877730];[244.99999999999991, 1674.0, 7638.000000000003, 33893.999999999985, 128849.99999999997, 491605.0000000002, 1742797.0000000002, 6178451.000000001, 21085739.0, 71728988.0, 238902992.0, 792194795.9999999, 2594024351.9999995, 8456403583.000001, 27346375423.000004, 88079051089.0, 282131095248.99994, 900597380510.0, 2863317013370.0, 9076996877730.0]
D:\Discrete Structuren\comass71.txt;True;(1/3)*1*x + +(1/9)*1*y + 0;(10 + 22*(5)^(1/2))*(1/6 + (5)^(1/2)/6)^n + (-22*(5)^(1/2) + 10)*(-(5)^(1/2)/6 + 1/6)^n;[15.555555555555554, 9.62962962962963, 4.938271604938271, 2.716049382716049, 1.4540466392318243, 0.7864654778235024, 0.4237158969669257, 0.22862368541380879, 0.12328743924537244, 0.06649844479443623, 0.035864752625409016, 0.019343633630073697, 0.010432850390625567, 0.005626909422438933, 0.0030348420731047075, 0.001636826182417006, 0.0008828134022617472, 0.0004761407099113608, 0.0002568039479995366, 0.00013850583932333005];[15.555555555555557, 9.629629629629632, 4.938271604938273, 2.7160493827160495, 1.4540466392318248, 0.7864654778235027, 0.4237158969669259, 0.22862368541380895, 0.12328743924537253, 0.0664984447944363, 0.035864752625409044, 0.019343633630073714, 0.010432850390625577, 0.005626909422438938, 0.0030348420731047105, 0.0016368261824170078, 0.0008828134022617483, 0.0004761407099113614, 0.000256803947999537, 0.00013850583932333027]
D:\Discrete Structuren\comass73.txt;True;+(1/5)*1*x + +(1/4)*1*y + (2/7)**n;(1/10 + (26)^(1/2)/10)^n*(5*(26)^(1/2)/1771 + 10/253)+(-(26)^(1/2)/10 + 1/10)^n*(-5*(26)^(1/2)/1771 + 10/253)+-10*2^n/253*2/7^n;[0.08163265306122448, 0.03965014577259475, 0.03500208246563931, 0.018816921520794908, 0.013057895944716909, 0.0074712355760415666, 0.004803128531930242, 0.0028411224376943553, 0.0017726317168922645, 0.0010658426946222798, 0.0006566223943818758, 0.0003978697028846176, 0.0002437536964160132, 0.00014822506707396299, 9.05854095386833e-05, 5.517391211048095e-05, 3.3681295787982315e-05, 2.052978317984964e-05, 1.2526293724289205e-05, 7.637708294484165e-06];[0.01782689360329111, 0.00865877689302711, 0.007643735400105023, 0.004109228909185446, 0.002851576090694105, 0.0016315642908153994, 0.0010489045509452395, 0.0006204427457810786, 0.00038710633343200576, 0.00023275813785723657, 0.00014339283513675323, 8.688656555088963e-05, 5.3230797339860475e-05, 3.236930812583571e-05, 1.9781991608744026e-05, 1.2048848395668235e-05, 7.3553027363083686e-06, 4.483282690461222e-06, 2.7354850919643327e-06, 1.6679185109495995e-06]
D:\Discrete Structuren\comass74.txt;True;3*1*x + -2*1*z + 0;(-10/3)*(1)^n + ((3)^(1/2)/6 + 5/3)*(1 + (3)^(1/2))^n + (-(3)^(1/2)/6 + 5/3)*(-(3)^(1/2) + 1)^n;[36, 106, 294, 810, 2218, 6066, 16578, 45298, 123762, 338130, 923794, 2523858, 6895314, 18838354, 51467346, 140611410, 384157522, 1049537874, 2867390802, 7833857362];[35.99999999999999, 105.99999999999999, 294.0, 809.9999999999998, 2217.999999999999, 6065.999999999999, 16577.999999999996, 45297.999999999985, 123761.99999999997, 338129.9999999999, 923793.9999999995, 2523857.9999999986, 6895313.999999996, 18838353.999999993, 51467345.99999996, 140611409.9999999, 384157521.99999976, 1049537873.9999992, 2867390801.9999976, 7833857361.999995]
D:\Discrete Structuren\comass81.txt;True;-9*1*x + -30*1*y + -40*1*z + +48*1*b + +32*1*c + 0;((1) * 1415/81) + (((-2)^n) * -1334/81) + (((-2)^n*n) * 88513/1728) + (((-2)^n*n^2) * -40259/1152) + (((-2)^n*n^3) * 4979/576) + (((-2)^n*n^4) * -275/384);[-1789, 15999, -89801, 401047, -1552681, 5450583, -17805993, 55045207, -162873769, 465052247, -1289123241, 3485223511, -9223026089, 23958964823, -61238293929, 154300500567, -383875495337, 944218098263, -2298824570281, 5545146763863];[-1789.0, 15998.99999999997, -89801.00000000023, 401047.0, -1552680.999999999, 5450583.000000002, -17805993.0, 55045206.999999985, -162873769.0, 465052247.0, -1289123241.0000005, 3485223511.0, -9223026089.0, 23958964823.0, -61238293928.99999, 154300500567.0, -383875495337.00006, 944218098263.0, -2298824570281.0, 5545146763863.0]
D:\Discrete Structuren\comass85.txt;True;-10*1*x + +1*y + +((26)**(1/2)-5)**n;(-5 + (26)^(1/2))^n*(75*(26)^(1/2)/52 + 837/104)+(-(26)^(1/2) - 5)^n*(-75*(26)^(1/2)/52 + 879/104)+n^1*-5*(26)^(1/2)/52 + 1/2*(-5 + (26)^(1/2))^n;[117.00980486407215, -1180.0970777678504, 11917.980678677935, -120359.90385502792, 1215517.0192298996, -12275530.096153932, 123970817.98076923, -1251983709.9038463, 12643807917.019234, -127690062880.09618, 1289544436717.981, -13023134430059.904, 131520888737317.03, -1328232021803230.2, 1.341384110676962e+16, -1.3546664308949942e+17, 1.3680802720017638e+18, -1.3816269363107138e+19, 1.3953077390307313e+20, -1.4091240083938384e+21];[111.11651594585457, -1131.9515468911459, 11414.942694046254, -115301.9706815432, 1164409.1544119103, -11759423.912801594, 118758612.9815235, -1199345593.9318447, 12112214507.193256, -122321490715.87401, 1235327121611.0208, -12475592706885.896, 125991254190405.28, -1272388134611008.2, 1.2849872600300412e+16, -1.297711141376152e+17, 1.3105610139764524e+18, -1.3235381253902137e+19, 1.3366437355299783e+20, -1.3498791167838805e+21]
D:\Discrete Structuren\comass86.txt;True;-10*1*x + +4*1*y + +((29)**(1/2)-5)**n;(-5 + (29)^(1/2))^n*(5/116 + 8*(29)^(1/2)/29)+(-(29)^(1/2) - 5)^n*(-8*(29)^(1/2)/29 + 53/116)+n^1*-5*(29)^(1/2)/58 + 1/2*(-5 + (29)^(1/2))^n;[-105.85164807134504, 1102.5736206554388, -11449.120790545034, 118901.5108648927, -1234811.588546134, 12823721.930178463, -133176465.65548481, 1383059544.2757485, -14363301305.37935, 149165251230.89655, -1549105717530.4827, 16087718180228.412, -167073604672406.06, 1735086919444974.2, -1.801916361313937e+16, 1.8713198380917357e+17, -1.943396492544293e+18, 2.0182492860679627e+19, -2.0959851457697343e+20, 2.1767151172124528e+21];[-111.57086014531158, 1150.8880728897059, -11967.234366459814, 124260.57609075736, -1290493.2679072306, 13401953.164233102, -139181529.78283057, 1445423082.1666992, -15010956972.366524, 155891262017.51413, -1618956448102.6753, 16813129529055.494, -174607121083010.22, 1813323728946276.5, -1.883166577379486e+16, 1.9556995265373366e+17, -2.031026189632516e+18, 2.1092541706940097e+19, -2.1904952182793103e+20, 2.274865385107071e+21]
D:\Discrete Structuren\comass87.txt;True;-1536*1*c + +256*1*b + +448*1*a + -128*1*z + -22*1*y + +11*1*x + 0;(((-2)^n) * 80/81) + (((-3)^n) * -1934/2401) + ((4^n) * 159055/194481) + ((4^n*n) * -381671/592704) + ((4^n*n^2) * 13939/56448) + ((4^n*n^3) * -251/8064);[-4126, -35494, -297742, -1994454, -12686206, -74581382, -422145902, -2294198710, -12139227870, -62621106022, -316839903694, -1575066811030, -7717028319294, -37318342610758, -178448019870254, -844699984103798, -3962875232412574, -18441755480479014, -85199310318698638, -391013074901499478];[-4125.999999999996, -35494.0, -297742.0, -1994454.0, -12686206.0, -74581382.0, -422145902.0, -2294198710.0, -12139227870.000002, -62621106022.0, -316839903694.0, -1575066811030.0, -7717028319294.0, -37318342610758.0, -178448019870254.0, -844699984103798.0, -3962875232412574.0, -1.8441755480479016e+16, -8.519931031869864e+16, -3.910130749014995e+17]
D:\Discrete Structuren\comass93.txt;True;-9*1*b + +3*1*x + +6*1*y + -21*1*a + -10*1*z + 0;((3^n) * 1431/256) + ((3^n*n) * -91/64) + (((-1)^n) * -407/256) + (((-1)^n*n) * -113/4) + (((-1)^n*n^2) * 299/32);[-460, -1979, -9801, -37586, -142357, -508878, -1781284, -6096035, -20559258, -68473493, -225828811, -738686520, -2399688763, -7749920624, -24902362782, -79664848241, -253867872472, -806223547071, -2552530489597, -8059170948398];[-460.0, -1979.0, -9801.0, -37586.0, -142357.0, -508878.0, -1781284.0, -6096035.0, -20559258.0, -68473493.0, -225828811.0, -738686520.0, -2399688763.0, -7749920624.0, -24902362782.0, -79664848241.0, -253867872472.0, -806223547071.0, -2552530489597.0, -8059170948398.0]
D:\Discrete Structuren\comass96.txt;True;8*1*y + -7*1*z + 0;(4/5)*(1)^n + (3/5 + 19*(29)^(1/2)/145)*(-1/2 + (29)^(1/2)/2)^n + (-19*(29)^(1/2)/145 + 3/5)*(-(29)^(1/2)/2 - 1/2)^n;[18, 20, 102, 34, 676, -442, 5170, -8268, 44454, -102334, 413508, -1129850, 4024402, -11933356, 40104166, -123637662, 404366820, -1269830458, 4100398194, -12989211404];[18.0, 19.999999999999986, 102.0, 33.999999999999915, 676.0, -442.0000000000008, 5170.0, -8268.000000000005, 44454.00000000001, -102334.00000000004, 413508.0, -1129850.0, 4024402.0000000005, -11933356.000000002, 40104166.0, -123637662.0, 404366819.99999994, -1269830457.9999998, 4100398193.9999995, -12989211403.999996]
